features,dtype,nan_count,nan_ratio,std,,features,dtype,nan_count,nan_ratio,std
Unnamed: 0.1,int64,0,0,84669900012,,loan_amnt,int64,0,0,77684830.27
Unnamed: 0,int64,0,0,3.04233E+11,,term,object,0,0,
member_id,float64,1007987,100,,,int_rate,float64,0,0,24.0766458
loan_amnt,float64,33,0.003273852,76979989.34,,grade,object,0,0,
funded_amnt,float64,33,0.003273852,76892616.76,,sub_grade,object,0,0,
funded_amnt_inv,float64,33,0.003273852,77060194.42,,emp_title,object,0,0,
term,object,33,0.003273852,,,emp_length,object,0,0,
int_rate,float64,33,0.003273852,23.63510587,,home_ownership,object,0,0,
installment,float64,33,0.003273852,69359.95636,,annual_inc,float64,0,0,4858353081
grade,object,33,0.003273852,,,verification_status,object,0,0,
sub_grade,object,33,0.003273852,,,issue_d,object,0,0,
emp_title,object,67847,6.730939982,,,purpose,object,0,0,
emp_length,object,60230,5.975275475,,,zip_code,object,0,0,
home_ownership,object,33,0.003273852,,,addr_state,object,0,0,
annual_inc,float64,37,0.003670682,4746466645,,dti,float64,0,0,128.4641865
verification_status,object,33,0.003273852,,,delinq_2yrs,int64,0,0,0.789809323
issue_d,object,33,0.003273852,,,earliest_cr_line,object,0,0,
loan_status,object,33,0.003273852,,,fico_range_low,int64,0,0,958.0916957
pymnt_plan,object,33,0.003273852,,,inq_last_6mths,int64,0,0,0.920334474
url,object,33,0.003273852,,,open_acc,int64,0,0,30.01071836
desc,object,882052,87.50628728,,,pub_rec,int64,0,0,0.379423262
purpose,object,33,0.003273852,,,revol_bal,float64,0,0,475215561.2
title,object,15840,1.571448838,,,revol_util,float64,0,0,592.1142872
zip_code,object,34,0.003373059,,,total_acc,int64,0,0,143.7609701
addr_state,object,33,0.003273852,,,initial_list_status,object,0,0,
dti,float64,327,0.032440895,124.1608312,,total_pymnt,float64,0,0,106208235.1
delinq_2yrs,float64,62,0.006150873,0.755907922,,total_rec_int,float64,0,0,7561866.575
earliest_cr_line,object,62,0.006150873,,,recoveries,float64,0,0,1241947.67
fico_range_low,float64,33,0.003273852,993.309199,,collection_recovery_fee,float64,0,0,38133.61836
fico_range_high,float64,33,0.003273852,993.3463498,,last_pymnt_d,object,0,0,
inq_last_6mths,float64,63,0.006250081,0.988621439,,last_pymnt_amnt,float64,0,0,48426576.67
mths_since_last_delinq,float64,512283,50.82238164,479.4890114,,last_credit_pull_d,object,0,0,
mths_since_last_record,float64,838190,83.15484227,736.5250666,,last_fico_range_high,int64,0,0,7330.125275
open_acc,float64,62,0.006150873,29.56736147,,tot_coll_amt,int64,0,0,94262096.12
pub_rec,float64,62,0.006150873,0.358427522,,tot_cur_bal,int64,0,0,24215482240
revol_bal,float64,33,0.003273852,467467566,,acc_open_past_24mths,int64,0,0,10.29923887
revol_util,float64,783,0.077679573,603.4123682,,bc_open_to_buy,float64,0,0,222341895.9
total_acc,float64,62,0.006150873,143.0924119,,mo_sin_old_il_acct,int64,0,0,2672.565787
initial_list_status,object,33,0.003273852,,,mo_sin_old_rev_tl_op,int64,0,0,8894.91368
out_prncp,float64,33,0.003273852,6558874.445,,mo_sin_rcnt_rev_tl_op,int64,0,0,256.9287718
out_prncp_inv,float64,33,0.003273852,6556669.497,,mo_sin_rcnt_tl,int64,0,0,73.87671857
total_pymnt,float64,33,0.003273852,105543014.3,,mort_acc,int64,0,0,3.971099366
total_pymnt_inv,float64,33,0.003273852,105554216.1,,mths_since_recent_bc,int64,0,0,902.0827586
total_rec_prncp,float64,33,0.003273852,76716766.91,,num_accts_ever_120_pd,int64,0,0,1.733314611
total_rec_int,float64,33,0.003273852,7630900.512,,num_actv_bc_tl,int64,0,0,5.077957653
total_rec_late_fee,float64,33,0.003273852,207.9278731,,num_bc_tl,int64,0,0,22.94613867
recoveries,float64,33,0.003273852,1197718.913,,num_il_tl,int64,0,0,54.52104187
collection_recovery_fee,float64,33,0.003273852,37018.63388,,num_tl_op_past_12m,int64,0,0,3.41707468
last_pymnt_d,object,2460,0.244050767,,,pct_tl_nvr_dlq,float64,0,0,75.71524656
last_pymnt_amnt,float64,33,0.003273852,46909322.26,,pub_rec_bankruptcies,int64,0,0,0.148363817
next_pymnt_d,object,970946,96.32525023,,,total_bal_ex_mort,int64,0,0,2231178083
last_credit_pull_d,object,83,0.008234233,,,total_il_high_credit_limit,int64,0,0,1841720975
last_fico_range_high,float64,33,0.003273852,7315.654793,,loan_status,object,0,0,
last_fico_range_low,float64,33,0.003273852,21335.35616,,,,,,
collections_12_mths_ex_med,float64,178,0.017658958,0.020872412,,,,,,
mths_since_last_major_derog,float64,750857,74.49074244,458.4997331,,,,,,
policy_code,float64,33,0.003273852,0,,,,,,
application_type,object,33,0.003273852,,,,,,,
annual_inc_joint,float64,984299,97.64996969,3542701000,,,,,,
dti_joint,float64,984301,97.65016811,59.97502549,,,,,,
verification_status_joint,object,984518,97.67169616,,,,,,,
acc_now_delinq,float64,62,0.006150873,0.005535052,,,,,,
tot_coll_amt,float64,70309,6.975189164,94260990.95,,,,,,
tot_cur_bal,float64,70309,6.975189164,24215363444,,,,,,
open_acc_6m,float64,528539,52.43510085,1.475132768,,,,,,
open_act_il,float64,528538,52.43500164,8.9280952,,,,,,
