features,dtype,nan_count,nan_ratio,std
loan_amnt,int64,0,0.0,77684830.26770972
term,object,0,0.0,
int_rate,float64,0,0.0,24.076645801957707
grade,object,0,0.0,
sub_grade,object,0,0.0,
emp_title,object,0,0.0,
emp_length,object,0,0.0,
home_ownership,object,0,0.0,
annual_inc,float64,0,0.0,4858353081.207314
verification_status,object,0,0.0,
issue_d,object,0,0.0,
purpose,object,0,0.0,
zip_code,object,0,0.0,
addr_state,object,0,0.0,
dti,float64,0,0.0,128.46418649800984
delinq_2yrs,int64,0,0.0,0.7898093234730483
earliest_cr_line,object,0,0.0,
fico_range_low,int64,0,0.0,958.0916956820894
inq_last_6mths,int64,0,0.0,0.9203344735823825
open_acc,int64,0,0.0,30.010718361033987
pub_rec,int64,0,0.0,0.3794232619327078
revol_bal,float64,0,0.0,475215561.20772034
revol_util,float64,0,0.0,592.1142872238838
total_acc,int64,0,0.0,143.76097011664905
initial_list_status,object,0,0.0,
total_pymnt,float64,0,0.0,106208235.07161723
total_rec_int,float64,0,0.0,7561866.575087484
recoveries,float64,0,0.0,1241947.6702033065
collection_recovery_fee,float64,0,0.0,38133.618364811555
last_pymnt_d,object,0,0.0,
last_pymnt_amnt,float64,0,0.0,48426576.670034654
last_credit_pull_d,object,0,0.0,
last_fico_range_high,int64,0,0.0,7330.1252754680045
tot_coll_amt,int64,0,0.0,94262096.11905237
tot_cur_bal,int64,0,0.0,24215482240.46481
acc_open_past_24mths,int64,0,0.0,10.299238874822278
bc_open_to_buy,float64,0,0.0,222341895.8635063
mo_sin_old_il_acct,int64,0,0.0,2672.5657870095406
mo_sin_old_rev_tl_op,int64,0,0.0,8894.913680313866
mo_sin_rcnt_rev_tl_op,int64,0,0.0,256.9287717777287
mo_sin_rcnt_tl,int64,0,0.0,73.87671856968267
mort_acc,int64,0,0.0,3.9710993656695055
mths_since_recent_bc,int64,0,0.0,902.0827586201839
num_accts_ever_120_pd,int64,0,0.0,1.733314610917781
num_actv_bc_tl,int64,0,0.0,5.077957652844214
num_bc_tl,int64,0,0.0,22.94613867103661
num_il_tl,int64,0,0.0,54.521041868548956
num_tl_op_past_12m,int64,0,0.0,3.41707467956944
pct_tl_nvr_dlq,float64,0,0.0,75.71524656280009
pub_rec_bankruptcies,int64,0,0.0,0.14836381686895447
total_bal_ex_mort,int64,0,0.0,2231178082.5449395
total_il_high_credit_limit,int64,0,0.0,1841720975.398982
loan_status,object,0,0.0,
